old_scene,old_timestamp,old_title,new_chapter_id,new_section_id,editorial_action,image_policy,editorial_note
1,05:14,"歯の痛みから始まる頭痛",purpose,purpose,"導入へ統合","omit","題名だけの講演画面は掲載しない"
2,08:31,"症例：40歳代女性の左上顎部痛",case,case-overview,"症例表へ統合","omit-unless-real-clinical-visual","プロフィール文字スライドは本文で表現"
3,10:00,"既往歴・家族歴・アレルギー",case,case-overview,"追加確認事項として統合","omit","字幕で確定できない値を補作しない"
4,10:10,"現病歴①：最初の発作を時系列化",case,case-timeline,"叙述型タイムラインへ統合","optional-real-timeline","実タイムラインが文字理解を助ける場合のみ"
5,12:06,"現病歴②：二つの時間スケール",case,case-two-phenotypes,"二表現型の比較表へ統合","optional-comparison","タイトル画像は禁止"
6,14:52,"疼痛部位図とOFP質問票",case,case-two-phenotypes,"説明へ統合","optional-real-anatomy","識別情報のない実図がある場合だけ掲載"
7,15:26,"構造化問診：間欠痛と持続痛を比較",case,case-two-phenotypes,"比較表へ統合","omit","本文の表が主役"
8,18:14,"パノラマX線：歯原性病変を探す",case,case-two-phenotypes,"画像の限界と診察手順へ統合","optional-real-diagnostic-image","実画像と観察点がある場合のみ。模造画像は禁止"
9,18:59,"最初の鑑別診断を出す",case,case-two-phenotypes,"問題表象へ統合","omit","受講者クリック問題にしない"
10,19:35,"臨床推論の5ステップ",reasoning,reasoning-loop,"反復ループとして再記述","optional-process-diagram","図なしでも本文完結"
11,22:18,"Step 1：キーワードから問題表象へ",reasoning,reasoning-loop,"症例の問題表象と統合","omit","単独ページ化しない"
12,24:39,"Step 2：鑑別を4つの箱に分ける",reasoning,reasoning-four-buckets,"四箱の表へ統合","omit","本文表を使用"
13,25:40,"歯痛・顔面痛の広い鑑別",reasoning,reasoning-four-buckets,"優先順位付き鑑別へ統合","omit","現行の題名だけの疑似スライドを完全削除"
14,28:30,"鑑別から『頭痛』が抜けていないか",reasoning,headache-map,"アンカリングの説明へ統合","omit","クイズ式に隠さない"
15,29:14,"代表的な一次性頭痛",reasoning,headache-map,"疾患群マップへ統合","omit","本文と比較表で説明"
16,29:56,"三つの頭痛像を直感的に比較",reasoning,headache-map,"持続時間比較表へ統合","optional-comparison","意味のある比較図のみ"
17,33:00,"ICHD-3の全体構造",reasoning,headache-map,"分類の説明へ統合","omit","分類名を根拠リンク付きで表示"
18,34:35,"片頭痛の臨床像",migraine,migraine-criteria,"診断像へ統合","omit","患者イラストは必須でない"
19,36:57,"片頭痛：要点のまとめ",migraine,migraine-criteria,"基準と症例適用へ統合","omit","重複タイトルを作らない"
